Id,SalePrice
1461,132364.52
1462,145971.22
1463,194228.8
1464,196034.62
1465,179406.8
1466,180582.81
1467,166015.66
1468,166994.44
1469,184099.72
1470,122185.53
1471,195384.55
1472,92693.51
1473,97433.01
1474,155599.69
1475,108323.6
1476,392631.84
1477,225169.1
1478,284542.97
1479,310177.0
1480,496745.6
1481,338150.38
1482,185618.5
1483,176955.64
1484,163933.55
1485,170859.75
1486,191786.45
1487,375418.75
1488,229327.84
1489,201953.86
1490,238567.19
1491,192951.05
1492,95321.5
1493,185120.33
1494,297164.53
1495,293086.9
1496,231363.78
1497,185686.12
1498,154633.56
1499,159852.84
1500,167709.77
1501,185648.23
1502,142040.94
1503,288403.25
1504,225860.53
1505,231291.2
1506,188076.44
1507,264264.03
1508,209273.86
1509,161883.58
1510,151123.23
1511,147601.77
1512,178135.98
1513,145672.92
1514,157989.89
1515,232941.23
1516,156681.2
1517,157073.17
1518,144964.33
1519,217638.2
1520,132798.84
1521,136877.33
1522,181342.0
1523,114547.58
1524,120938.016
1525,123531.66
1526,121439.96
1527,112727.81
1528,121453.28
1529,146707.83
1530,164295.56
1531,124019.99
1532,102774.32
1533,140814.52
1534,116274.46
1535,160489.97
1536,105908.78
1537,83888.836
1538,140231.03
1539,165261.69
1540,87726.89
1541,133083.84
1542,137739.61
1543,201392.64
1544,81385.81
1545,95082.445
1546,126098.87
1547,137124.14
1548,124488.77
1549,112681.375
1550,151761.73
1551,117174.12
1552,156290.94
1553,142461.22
1554,109532.57
1555,171385.89
1556,77025.74
1557,124181.07
1558,88339.84
1559,104957.695
1560,147011.89
1561,154035.69
1562,128329.17
1563,123355.89
1564,162641.53
1565,160085.5
1566,210667.16
1567,77643.93
1568,219646.8
1569,154804.42
1570,132612.67
1571,112228.805
1572,143895.89
1573,265964.06
1574,127438.99
1575,221500.66
1576,236230.28
1577,194933.22
1578,139676.6
1579,147298.6
1580,185310.73
1581,144909.73
1582,130249.53
1583,322297.22
1584,236907.56
1585,143736.39
1586,76358.86
1587,97326.305
1588,144129.52
1589,93989.13
1590,129907.15
1591,101520.6
1592,113168.8
1593,120596.305
1594,115229.19
1595,132841.02
1596,233057.67
1597,190351.69
1598,206881.52
1599,163563.14
1600,170680.44
1601,79484.22
1602,115274.8
1603,103559.555
1604,271546.47
1605,257454.95
1606,165805.22
1607,170532.55
1608,224287.39
1609,191348.36
1610,155049.1
1611,144822.97
1612,189039.56
1613,169085.9
1614,128194.01
1615,86336.34
1616,82764.64
1617,93093.664
1618,127177.72
1619,136238.16
1620,205788.62
1621,150130.33
1622,141055.64
1623,282548.44
1624,230686.73
1625,123376.48
1626,169708.36
1627,190627.64
1628,257920.89
1629,180315.22
1630,371383.06
1631,192744.14
1632,224221.3
1633,162351.42
1634,202509.5
1635,185335.83
1636,165632.0
1637,213753.39
1638,182649.45
1639,186881.92
1640,243265.31
1641,181654.6
1642,231702.72
1643,224322.69
1644,212835.39
1645,197012.95
1646,155689.34
1647,153043.5
1648,135924.22
1649,132475.78
1650,116007.52
1651,124990.664
1652,97371.055
1653,94174.14
1654,153305.14
1655,138941.9
1656,147298.6
1657,153305.14
1658,153958.6
1659,118788.47
1660,153402.53
1661,483235.2
1662,396181.78
1663,391785.0
1664,436459.22
1665,297782.7
1666,328848.03
1667,400961.2
1668,317890.78
1669,265266.72
1670,342175.56
1671,246390.0
1672,453750.12
1673,290783.34
1674,235616.5
1675,189360.56
1676,194796.62
1677,206502.66
1678,441830.7
1679,409304.84
1680,320717.84
1681,227769.86
1682,324363.78
1683,172206.55
1684,180446.3
1685,188895.58
1686,172106.23
1687,164809.03
1688,191119.66
1689,198821.9
1690,200208.61
1691,175727.33
1692,259293.62
1693,156480.34
1694,185246.6
1695,162615.47
1696,306664.8
1697,167225.38
1698,350681.1
1699,298318.22
1700,250233.1
1701,262473.47
1702,240335.12
1703,244639.34
1704,295129.1
1705,211960.12
1706,423574.94
1707,220823.19
1708,197645.27
1709,250585.1
1710,212251.02
1711,248598.52
1712,255606.89
1713,306971.75
1714,218655.31
1715,203729.88
1716,187314.61
1717,164197.19
1718,139475.73
1719,195723.03
1720,214525.34
1721,160819.53
1722,136493.17
1723,162367.69
1724,208248.75
1725,227400.03
1726,198118.94
1727,170800.77
1728,183708.61
1729,152711.83
1730,153057.08
1731,120068.76
1732,135745.58
1733,124680.89
1734,123513.04
1735,134927.05
1736,115585.234
1737,273029.72
1738,215087.45
1739,280317.0
1740,231512.11
1741,207723.72
1742,185124.39
1743,177324.1
1744,268952.94
1745,196049.77
1746,183792.38
1747,202636.81
1748,208899.8
1749,153270.19
1750,130328.31
1751,210801.81
1752,124341.164
1753,160124.58
1754,199181.94
1755,158111.53
1756,125153.48
1757,122542.74
1758,149302.78
1759,160899.77
1760,168216.75
1761,147659.78
1762,183415.39
1763,181303.44
1764,117701.625
1765,140329.62
1766,176425.7
1767,218452.3
1768,143314.8
1769,160426.61
1770,138354.95
1771,133002.39
1772,134415.38
1773,136528.2
1774,153203.84
1775,129848.44
1776,118684.97
1777,110338.07
1778,142934.8
1779,112722.65
1780,162533.14
1781,130353.05
1782,100724.7
1783,137638.11
1784,111253.84
1785,114406.63
1786,172868.02
1787,168752.28
1788,70187.94
1789,95928.945
1790,81952.74
1791,174653.38
1792,141738.38
1793,136510.75
1794,145547.95
1795,132889.3
1796,116452.46
1797,99408.35
1798,127514.125
1799,101624.93
1800,127899.23
1801,128223.11
1802,116340.79
1803,156067.38
1804,144740.69
1805,137579.72
1806,109128.75
1807,124960.75
1808,125799.91
1809,124143.65
1810,147757.95
1811,101644.8
1812,102461.35
1813,118511.47
1814,99116.98
1815,61567.37
1816,96604.555
1817,135199.08
1818,142692.64
1819,132729.72
1820,76625.7
1821,110165.84
1822,152993.75
1823,46331.57
1824,124355.75
1825,141202.75
1826,97671.17
1827,105589.29
1828,141095.06
1829,112444.24
1830,143713.77
1831,137307.08
1832,100400.55
1833,142435.95
1834,124677.2
1835,119456.12
1836,133958.52
1837,75995.26
1838,117175.46
1839,92043.32
1840,145515.89
1841,135283.95
1842,82438.36
1843,142714.02
1844,137762.73
1845,144193.98
1846,154076.39
1847,154939.12
1848,71786.234
1849,104144.39
1850,127421.01
1851,160598.67
